,date,text,hashtags
14753,Sun Mar 18 18:07:53 +0000 2018,"#Sncf Fière d'être dans ce groupe de "" privilégiés "". Merci aux collègues qui vont se battre pour ceux qui ne peuvent pas ( genre ceux qui sont au module 1 mdr )",['Sncf']
14756,Sun Mar 18 18:07:53 +0000 2018,.@realDonaldTrump règle ses comptes sur @Twitter avec le procureur spécial Robert Mueller https://t.co/9rUpyAvKh7 #USA #Russie #FBI @Trump,"['USA', 'Russie', 'FBI']"
14758,Sun Mar 18 18:07:52 +0000 2018,"#PresidentielleRussie2018  : Plus de 20% des votes ont été décomptés à 19h (heure française)
➡️ https://t.co/vsxHaqDFGD https://t.co/JpCFvJ7wt5",['PresidentielleRussie2018']
14761,Sun Mar 18 18:07:52 +0000 2018,C'est évidemment totalement réaliste comme résultat https://t.co/wwzfKtZLZR,
14766,Sun Mar 18 18:07:51 +0000 2018,"Sans surprises Poutine est réellu avec 71,87% des voix. Groudinine du Parti Communiste obtient 11,2% 
Jerinovsky le nationaliste 5,9%. Sobchak contre toute attente obtient 2,5% des suffrages",
14769,Sun Mar 18 18:07:51 +0000 2018,"Russie : Poutine réélu, des fraudes dénoncées https://t.co/Ty9Cs4UNCK",
14772,Sun Mar 18 18:07:50 +0000 2018,"@LesNews FLASH - 26,1% de la population russe va décéder cette semaine",
14774,Sun Mar 18 18:07:50 +0000 2018,"@chris1986l @nabotine974 @benoithamon Apparemment... Bon, moi, je serai dans la rue le 22 mars. Pas sûr qu'il y ait tant d'insoumis qui luttent autant que moi contre ce gouvernement !",
14779,Sun Mar 18 18:07:49 +0000 2018,Ptdr Poutine est très fort qd mm,
14786,Sun Mar 18 18:07:46 +0000 2018,En direct : suivez notre édition spéciale sur l'élection présidentielle en Russie - https://t.co/r1fDJAhncy,
14789,Sun Mar 18 18:07:45 +0000 2018,Surprise de ouf ! https://t.co/QIl8zx2K6E,
14791,Sun Mar 18 18:07:45 +0000 2018,"Avec le bourage organisé des urnes, cameras éteintes.
uhttps://www.huffingtonpost.fr/2018/03/18/vladimir-poutine-largement-et-sans-surprise-reelu-des-le-1er-tour-de-lelection-presidentielle-russe_a_23388798/",
14794,Sun Mar 18 18:07:44 +0000 2018,Le con ça ose tout... c'est à cela qu'on le reconnaît ! Décidément #Macron n'en loupe pas une ! https://t.co/tzZ7wpcPPB,['Macron']
14802,Sun Mar 18 18:08:12 +0000 2018,"#septahuit
Déjà vu ce reportage sur Leroy Merlin en Russie non ?",['septahuit']
14806,Sun Mar 18 18:08:11 +0000 2018,Y’avait quand même beaucoup + de suspens dans les élections des délégués de classe au collège... https://t.co/2zCxZxCRmu,
14810,Sun Mar 18 18:08:10 +0000 2018,Présidentielle russe : la France ne reconnaît pas le vote en Crimée https://t.co/AkdimQNSv3,
14811,Sun Mar 18 18:08:10 +0000 2018,"loin derrière les 82,21 % de #Chirac en 2002, #Poutine petit joueur  https://t.co/2DstnUMiy3","['Chirac', 'Poutine']"
14815,Sun Mar 18 18:08:09 +0000 2018,"Macron! est ce que tu entends la colère de la rue ?

#FranceReveilleToi #TousDansLarue
#FranceEnColere
#grevesncf #Greve22mars #greve #SNCF #cheminots #Retraite #LREM #Macron #RATP #Traffic #france #FranceInsoumise 
#GrevesNationales #LeSaviezVous 
#obeissance https://t.co/z4h2OzuhgI","['FranceReveilleToi', 'TousDansLarue', 'FranceEnColere', 'grevesncf']"
14820,Sun Mar 18 18:08:08 +0000 2018,Ptdddr exceptionnel #MyPresident https://t.co/WCvud6Bcti,['MyPresident']
14826,Sun Mar 18 18:08:06 +0000 2018,@hasaichi @Elvinee__ Mais il parle japonais pas russe https://t.co/s6B2yEbcqf,
14829,Sun Mar 18 18:08:04 +0000 2018,"Des migrants ont agressé des jeunes femmes russes, ils sont à l'hôpital https://t.co/cRSSNPnyKj",
14832,Sun Mar 18 18:08:03 +0000 2018,@YvesPDB Pôutine c'est un sociopathe un pas grand chose il ne faut pas être grand pour gouverner de manière totalitaire et malhonnête enfin c'est génétique chez le russes le vol et l'alcoolisme,
14835,Sun Mar 18 18:08:02 +0000 2018,"RUSSIE/PRÉSIDENTIELLE-DEUX SONDAGES SORTIE DES URNES DONNENT À POUTINE ENTRE 73,9% ET 76,3% DES SUFFRAGES https://t.co/62KHG6talP",
14838,Sun Mar 18 18:08:01 +0000 2018,Russie : Vladimir #Poutine réélu pour un 4e mandat avec 73.9% des voix (sondage sortie des urnes) https://t.co/4cEVC7f26M,['Poutine']
14840,Sun Mar 18 18:08:01 +0000 2018,#Poutine réelu avec 74%  https://t.co/tYSizEf2lg,['Poutine']
14848,Sun Mar 18 18:08:00 +0000 2018,@ACheinine Je commence à me demander si finalement avec un salaire de 600 balles t'est pas plus heureux en Russie.Finalement les habitants de ce pays ont l'air d'avoir beaucoup plus les pieds sur terre que chez nous,
14849,Sun Mar 18 18:07:59 +0000 2018,BRAVO PRÉSIDENT ! https://t.co/mbZIXxYlx6,
14853,Sun Mar 18 12:07:36 +0000 2018,"c'est sûr qu'en leur faisant les poches, ils seront encore + dignes .....
@BrunoLeMaire https://t.co/InK3Cs9rY5",
14856,Sun Mar 18 18:07:57 +0000 2018,"RIP aux 26,1% https://t.co/Tw8uIS41Bs",
14863,Sun Mar 18 18:08:25 +0000 2018,"Bref, le président de la Fédération de Russie reste Poutine. L'autre cauchemar des libéraux occidentaux, le président chinois Xi Jinping, a également été reconduit, dans son cas pour une durée indéterminée. 
Ce qui veut dire que la Guerre froide continue. https://t.co/Eap1iyGOnC",
14864,Sun Mar 18 18:02:21 +0000 2018,De justesse  https://t.co/6QLL2BKaEz,
14871,Sun Mar 18 18:08:24 +0000 2018,"M ON TSAR AURAIT 76,3% des voix https://t.co/jMD5vboyzJ",
14873,Sun Mar 18 18:08:23 +0000 2018,"Mayotte 1 by-election. At 19.40
Incumbent 39,89%
Les Republicains 32,16%
Movement for Development of Mayotte 11,94%
Independent 10,7%
France insoumise 2%
UPR 1,82%
Independent 1,13%
Independent 0,36% 
https://t.co/uUJrWtgb2P",
14884,Sun Mar 18 18:08:21 +0000 2018,y'a des news qui rendent le smile https://t.co/W7xC0pfQ05,
14886,Sun Mar 18 18:08:21 +0000 2018,Entendu à la radio d’une citoyenne russe : « je suis sûre qu’il (#Poutine) rétablira la paix ».,['Poutine']
14891,Sun Mar 18 18:08:18 +0000 2018,Plus de 70% des voix pour Vladimir Poutine avec plus de 60% De participation ! #Russia #Россия2018 #Россия https://t.co/AuKntadlrk,"['Russia', 'Россия2018', 'Россия']"
14896,Sun Mar 18 18:08:18 +0000 2018,"Seulement ?
(c'est bon, les apparences sont sauves) https://t.co/g7HUUaFqLm",
14898,Sun Mar 18 18:08:18 +0000 2018,"Russie-Présidentielles : Forte participation, opposition et ONG dénoncent des fraudes https://t.co/CgAF8qWBFV",
14899,Sun Mar 18 18:08:17 +0000 2018,@MauvaisCoton @LCI @FranceInsoumise La banque à Poutine est prêteuse pour le FHaine...,
14900,Sun Mar 18 18:08:17 +0000 2018,L'#Essentiel de notre édition du 64' en moins de 3 minutes #Russie #Afrine #Mayotte #Bangalore #AfriqueDuSud #Dieu #Bizet https://t.co/V0SqqdztQY,"['Essentiel', 'Russie', 'Afrine', 'Mayotte', 'Bangalore', 'AfriqueDuSud', 'Dieu']"
14909,Sun Mar 18 18:08:16 +0000 2018,Russie: Poutine l'emporterait dès le premier tour avec plus de 71% des voix https://t.co/rfRfuvPbB2,
14916,Sun Mar 18 18:08:13 +0000 2018,Ceci est un peu comme le match retour PSG Réal y’a pas de suspense on sait qui va gagner https://t.co/29v6aUXayU,
14918,Sun Mar 18 18:08:13 +0000 2018,"@BrunoLeMaire il va falloir ""tenir bon"" face aux #cheminots et bien d'autres :  
Retraités 
Facs &amp; Lycées 
EDF, RTE, Enedis
RATP 
Commerce
Raffineries
Sociétés d'études 
Magistrature et Avocats 
Hôpitaux 
Aérien 
Et + encore...
https://t.co/pgURcXiryE",['cheminots']
14919,Sun Mar 18 18:08:13 +0000 2018,Lol vous vous souvenez quand Poutine a placé un de ses potes à la tête du pays pour changer le nombre de mandat d'un président ?,
14921,Sun Mar 18 18:08:41 +0000 2018,"URGENT - Vladimir Poutine est réélu sans surprise à la tête de la Russie avec 73,9 % des suffrages selon les premiers résultats. (Agences)",
14923,Sun Mar 18 18:08:40 +0000 2018,"Poutine, l'incontournable patron de la Russie https://t.co/PO54bZShRW #International via @LePoint",['International']
14924,Sun Mar 18 18:08:40 +0000 2018,"La preuve ultime que Mayotte n'est pas vraiment la France ?

Jamais les français oseraient faire ça ⬇️ https://t.co/a2zeSQUifp",
14928,Sun Mar 18 18:08:39 +0000 2018,"Élection en Russie / Enquête américaine : selon VKontakte, un Russe sur 3 exposé à un contenu de propagande",
14936,Sun Mar 18 18:08:37 +0000 2018,"Les griffes Russes. Le  semble sortir de son silence et veut rassurer ses alliés.
Poutine ne semble pas se donner de limites. La armes des alliés de l'Otan sont pointées sur son pays. Poutine répond, étale son influence, se positionne, et l'assume.

https://t.co/apCvgkAw5D",
14938,Sun Mar 18 18:08:36 +0000 2018,@DIALA_JABRAN @WikistrikeW Une chose est sure que poutine à vraiment fait le nettoyage des espions à tous les niveaux en Russie,
14947,Sun Mar 18 18:08:33 +0000 2018,"je tiens à préciser que je ne suis en aucun cas d’accord qu’ Emmanuel Macron ait négligé l’association, mais quand on est chroniqueur et qu’on se contente de juger sans connaître les ambitions du gouvernement, on ne peut pas se permettre ce genre d’accoutrement.",
14950,Sun Mar 18 18:08:33 +0000 2018,"Ce qui est chiant avec les élections en Russie, c'est que les journalistes ne doivent plus écrire d'article pour le lendemain: ""Qui est Vladimir Poutine?""",
14951,Sun Mar 18 18:08:33 +0000 2018,"Sans surprise Poutine est réelu avec 71,87% des voix. Groudinine du Parti Communiste obtient 11,2% 
Jerinovsky le nationaliste 5,9%. Sobchak contre toute attente obtient 2,5% des suffrages",
14953,Sun Mar 18 18:08:32 +0000 2018,Un bon français est un français qui meurt juste à la retraite alors qu il a travaillé et cotisé toute sa vie et là je ne ris pas  https://t.co/oClpz0isHV,
14956,Sun Mar 18 18:08:31 +0000 2018,Etrange dis donc https://t.co/rLAcWWadmk,
14963,Sun Mar 18 18:08:30 +0000 2018,explique moi ce qu'il se passe avec la Russie en ce moment s'il te plait clemi — Ils sont soupçonné d’avoir empoisonné  un ancien espion britannique https://t.co/veQUXEWnU5,
14966,Sun Mar 18 18:08:30 +0000 2018,"Poutine réélu pour un 4e mandat avec 73,9% des voix (sondage sortie des urnes)",
14970,Sun Mar 18 18:08:29 +0000 2018,"Réformer la SNCF est légitime. Réformer par ordonnance c'est le régime politique de ""l'ordonnançature"". Mais présenter les cheminots comme des super-privilégiés quand on a supprimé l'ISF c'est qd même  gonflé !",
14973,Sun Mar 18 18:08:28 +0000 2018,"Nouveau « 3/8 »
made in sncf https://t.co/s1CNP2RTr2",
14977,Sun Mar 18 18:08:26 +0000 2018,"En effet
PLUS facile de s'exciter sur #Poutine 

#violencesfaitesauxfemmes JUSTE  une causerie
Pour AGIR ?  C'est AutreChose !! https://t.co/edFK9O8Lr4","['Poutine', 'violencesfaitesauxfemmes']"
14982,Sun Mar 18 18:08:53 +0000 2018,"Sans surprise Poutine est réélu avec 71,87% des voix. Groudinine du Parti Communiste obtient 11,2% 
Jerinovsky le nationaliste 5,9%. Sobchak contre toute attente obtient 2,5% des suffrages",
14985,Mon Mar 12 13:41:22 +0000 2018,"Que se passera-t-il si Vladimir #Poutine est réélu président de la #Russie  ?
➡️ https://t.co/JAfbIeNqm0 https://t.co/sWMijl7ckN","['Poutine', 'Russie']"
14988,Sun Mar 18 18:08:52 +0000 2018,"Quoi ?
Que lis-je ?
Que twitté-je ?
Si c'est confirmé, c'est l'info du siècle. https://t.co/AuMGMvxib5",
14990,Sun Mar 18 18:08:52 +0000 2018,"⚠ FLASH - VLADIMIR POUTINE EST RÉÉLU PRÉSIDENT DE LA RUSSIE AU 1er TOUR AVEC 73,9% DES SUFFRAGES (sondage sorti des urnes) https://t.co/GB5AA8stTx",
14993,Sun Mar 18 18:08:51 +0000 2018,"Donc Poutine es réélu à 71% au premier tour des élections ?  
Il es bon l’animal ",
14994,Sat Mar 17 22:35:06 +0000 2018,"Paul Oliver
1 h · 
Quand  Poutine est élu pour la quatrième fois c'est de la dictature,  quand  Merkel est élue pour la quatrième fois c'est de la démocratie https://t.co/IqkGk7MHdg",
14995,Sun Mar 18 18:08:51 +0000 2018,#Russie  il n'y a pas besoins de second tour c'est cool mdr  https://t.co/WMoOTJ4ptk,['Russie']
15004,Sat Mar 17 12:11:31 +0000 2018,La ministre déclare que l'ouverture à la concurrence #SNCF C'est l'intérêt des voyageurs ! Mensonge ! 27% d'augmentation des prix en Angleterre depuis 2010 et 70% des suédois qui réclament le retour au monopole public ! #reformeSNCF à combattre ! https://t.co/AC8sFGHYUb,['SNCF']
15006,Sun Mar 18 18:08:47 +0000 2018,BRAVO à Vladimir Poutine pour sa réélection à la tête de la sainte Russie  #presidentiellerusse,['presidentiellerusse']
15007,Sun Mar 18 18:08:47 +0000 2018,OKLM quoi  https://t.co/dXuTY48EdH,
15011,Sun Mar 18 18:08:46 +0000 2018,"France : l'eau, ça mouille. https://t.co/pJgSNqCMic",
15016,Sun Mar 18 18:08:45 +0000 2018,"https://t.co/cpiPmozhGT Vidéo d'un dépouillement en russie

Y'a comme un truc qui bloque la vue :/",
15020,Sun Mar 18 18:08:45 +0000 2018,Pouhahaha https://t.co/rkBovdqs45,
15024,Sun Mar 18 18:08:44 +0000 2018,"En Europe, les dictatures n’existe pas.
Poutine et Merkel sont élus aux suffrages universels. C’est la démocratie. Blablabla. https://t.co/ct0TaN90uv",
15030,Sun Mar 18 18:08:44 +0000 2018,"Présidentielle russe : Vladimir Poutine en tête avec 71,97% des voix (résultats partiels) https://t.co/vqvykBvb5p",
15035,Sun Mar 18 18:08:42 +0000 2018,Poutine réélu a plus de 70% des voix! Bravo ! #LarmesDeGauchos #Russie #Electionrusse2018,"['LarmesDeGauchos', 'Russie', 'Electionrusse2018']"
15038,Sun Mar 18 18:08:41 +0000 2018,"Macron! est ce que tu entends la colère de la rue ?

#FranceReveilleToi #TousDansLarue
#FranceEnColere
#grevesncf #Greve22mars #greve #SNCF #cheminots #Retraite #LREM #Macron #RATP #Traffic #france #FranceInsoumise 
#GrevesNationales #LeSaviezVous 
#Ligue1Conforama https://t.co/uO1Z4bosdY","['FranceReveilleToi', 'TousDansLarue', 'FranceEnColere', 'grevesncf']"
15049,Sun Mar 18 18:09:08 +0000 2018,Étonnant  https://t.co/jkG3jDB6qT,
15057,Sun Mar 18 18:09:07 +0000 2018,"En séminaire, le gouvernement veut «tenir» et pas «mollir» https://t.co/kueHCbNNxh https://t.co/X9U5s8iQlE",
15059,Sun Mar 18 18:09:07 +0000 2018,Poutine remporte l'élection présidentielle russe avec 76% des voix (1ere estimation). De quoi faire jalouser beaucoup de leaders occidentaux.,
15060,Sun Mar 18 18:09:07 +0000 2018,"#Grandesvoix L'appel de Marine Le Pen à voter à M. Kamardine pour les législatives partielles à Mayotte est un geste, une pierre dans le jardin de Laurent Wauquiez @VilleneuveCharl @cottamichele",['Grandesvoix']
15061,Sun Mar 18 18:09:06 +0000 2018,Vladimir Poutine serait réélu avec 71% du suffrage exprimé.,
